FILE|TITLE|TYPE|AUTHOR|TERM|YEAR
BreamBrendan.pdf|tectonic implications of para- and orthogneiss geochronology and geochemistry from the southern appalachian crystalline core|dissertation|brendan r. bream|may|2003
BultmanJohn.pdf|structure, stratigraphy, and tectonics preserved of the northwestern bays mountain synclinorium, greene and hawkins counties, northeast tennessee|thesis|john g. bultman|december|2005
BurleyThomasEdward.pdf|an analysis of spatiotemporal variations of water quality in the little river watershed and their connection with land-cover patterns|thesis|thomas edward burley|december|2008
ChararaYoussefMohamad.pdf|characterization of the cosmic ray telescope for the effects of radiation (crater) detector|dissertation|youssef mohamad charara|december|2008
DoyleWilliamC.pdf|at home here and abroad:the rhetoric of presence and narratives of place|dissertation|william c. doyle|december|2008
DukesCollinsLandon.pdf|measuring the impact of knowledge sharing on quality improvement initiatives|thesis|collins landon dukes|december|2008
GaertnerAldenElizabeth.pdf|moderating effect of intimate exchange on the reciprocal relation between best friend delinquency and child externalizing behavior|thesis|alden elizabeth gaertner|december|2008
HackneyCynthiaWard.pdf|conscientiousness moderates the relationship between life change and life satisfaction|thesis|cynthia ward hackney|may|2008
KushnirykAlla.pdf|producing effective messages in the multicommunicating environment: managing multitasking in organizational meetings|dissertation|alla kushniryk|august|2008
LanningJamesMichael.pdf||||august|2008
MaplesJoellen.pdf|investigating critical talk between preservice english teachers and middle school students in online literature discussions|dissertation|joellen maples|august|2008
RoseCharlesMatthew.pdf|digital integration for monitoring acceleration signals|thesis|charles matthew rose|december|2008
RoseChristyWeems.pdf|genetic load of crop genes and tandem mitigating genes in transgenic brassica napus (oilseed rape) × brassica rapa (field mustard) populations|thesis|christy weems rose|december|2008
RowlandAaronThomas.pdf|from authoritarian dirty war to neoliberal, ‘democratic’ class war: neoliberalism as class struggle in argentina|thesis|aaron thomas rowland|december|2008
AhmedOmaimaMaamoun.pdf|levels of acetic and lactic acid in rte meat and poultry products and their association with occurrence of listeria monocytogenes at retail|dissertation|omaima maamoun ahmed|may|2009
AlexanderThorinRichard.pdf|visual rhetoric and usability in user documentation|thesis|thorin richard alexander|may|2009
AmaleshJosephVirgil.pdf|enterprise level maintenance strategy selection: an empirical model|thesis|joseph virgil amalesh|may|2009
Assibey_YeboahMark.pdf|dynamic effects ofgovernment policies in a small open developingeconomy with externaldebt and sovereign risk|dissertation|mark assibey-yeboah|may|2009
BariSatyavani.pdf|moiré fringe analysis of accuracy of nano metrology in the sem.|thesis|satyavani bari|may|2009
BasenbergLanierFrances.pdf|conflicts and compromises: college women talk about sex and sexuality|thesis|lanier frances basenberg|may|2009
BasileSusanAnn.pdf|modeling and analysis of proximal tibial growth plate fractures in adolescents|thesis|susan ann basile|may|2009
BaytiyehHoda.pdf|open source software: contributors‘ motivations in a community of practice|dissertation|hoda baytiyeh|may|2009
BernertHeike.pdf|promoter hypermethylation of candidate tumor suppressor genes in urinary bladder and prostate cancer|dissertation|heike bernert|may|2009
BetheaEmilyK.pdf|the role of the phospholipid regulator, cgopi1, in controlling viability in the pathogenic yeast, candida glabrata|thesis|emily katherine bethea|may|2009
BinkleyMelissaAnne.pdf|exploring the effects of political violence: examining the function of identity for youth in two conflict zones|thesis|melissa anne binkley|may|2009
BishopNeilRobert.pdf|distributive justice in intercollegiate athletics: perceptions of sport management students|thesis|neil robert bishop|may|2009
CassieKimberlyMcClure.pdf|the effects of nursing home organizational culture and climate on employee and resident outcomes|dissertation|kimberly mcclure cassie|may|2009
ChastainJenniferSusan.pdf|a statistical reliability analysis of the variability and upper percentiles of the wood strand thickness of oriented strand board|thesis|jennifer susan chastain|may|2009
ChavezJuliannMarieWalker.pdf|a phenomenological inquiry into children’s experiences and choices related to health and disease prevention|dissertation|juliann marie walker chavez|may|2009
ChenSuheng.pdf|low-power switched capacitor voltage reference|dissertation|suheng chen|may|2009
ChenTai-Ming.pdf|ut taiwanese graduate students’ perceived difficulties in english for academic purpose setting|dissertation|tai-ming chen|may|2009
ChenYing-Lien.pdf|the roles of phospholipid biosynthesis in candida albicans virulence|dissertation|ying-lien chen|may|2009
ChienTe-Yu.pdf|anisotropic electron-phonon coupling on a two-dimensional isotropic fermi contour: γ surface state of be(0001)|dissertation|teyu chien|may|2009
ChittaSubhashiniB.pdf|nonlinear localized dissipative structures for long-time solution of wave equation|dissertation|subhashini b. chitta|may|2009
ClarkJustinStewart.pdf|baseline sensitivities of corynespora cassiicola to thiophanate-methyl, iprodione and fludioxonil.|thesis|justin stewart clark|may|2009
CoatesCameronWright.pdf|system effectiveness model formulation with application to nuclear safeguards systems|dissertation|cameron wright coates|may|2009
ColvinAndrewJames.pdf|the synthesis and spectroscopic studies of titanium-amido complexes as potential catalysts for small molecule activation and polymerization reactions.|dissertation|andrew james colvin|may|2009
CoulterShannonEdward.pdf|does teachers’ work in professional learning communities explain variations in their students’ achievement scores? exploring the relationships between professional learning community, teacher and student characteristics|dissertation|shannon e. coulter|may|2009
CouryMelissaSarah.pdf|investigating the effects of depression and bipolar disorder on social support, stigmatization, and family burden|thesis|melissa sarah coury|may|2009
CrewsDanielS.pdf|approved for public release; distribution is unlimited. nsms probe recorder: design and development|thesis|daniel s. crews|may|2009
CrookstonKevinAndrew.pdf|reliability of wood plastic composites and improving lower percentile estimation via induced percentile censoring|thesis|kevin andrew crookston|may|2009
CrutsingerGregoryM.pdf|linking genotypic diversity within solidago altissima to communities and ecosystems.|dissertation|gregory m. crutsinger|may|2009
CurranScottJames.pdf|on-road emissions evaluation of student-produced biodiesel|thesis|scott james curran|may|2009
CusickKathleenAnnDaumer.pdf|proposed mechanism of action of saxitoxin in aquatic systems based on expression profiling in lower eukaryotes|dissertation|kathleen d. cusick|may|2009
CyphersShawnaRenee.pdf|detailed mapping of a terrane boundary, and structure and origin of block-in-matrix structures, central and eastern blue ridge, jackson county, north carolina|thesis|shawna r. cyphers|may|2009
DavenportShaunW.pdf|managing team conflict through perspective taking|dissertation|shaun w. davenport|may|2009
DavidaiNoa.pdf|variation in the abundance of foraging insectivorous bats across an agricultural landscape|thesis|noa davidai|may|2009
DawkinsStephanieElizabeth.pdf|the relationship between the susceptibility of eating disorders, self-esteem, and body image in female collegiate student-athletes|thesis|stephanie elizabeth dawkins|may|2009
DawsonLyndsayHughes.pdf|stewards of the mountains: a case study of the lindquist environmental appalachian fellowship, a faith-based environmental organization|thesis|lyndsay hughes dawson|may|2009
DicksonJosephWarren.pdf|examining subjective understanding of participants and trained coders in adolescent romantic couples’ interactions|dissertation|joseph warren dickson|may|2009
DopwellDonnaM.pdf|the impact of culture and national origin on educational aspiration, personal responsibility, and self-efficacy: a comparative analysis of views by african americans and african caribbeans|thesis|donna m. dopwell|may|2009
DouglassKimberlyL.pdf|―bling without blood? the role of natural resources in civil war‖|dissertation|kimberly l. douglass|may|2009
DuncanSarahIsabelle.pdf|relatedness and genetic structure in a socially polymorphic mixed population of the spider anelosimus studiosus|thesis|sarah isabelle duncan|may|2009
DuttonMarkThomas.pdf|1 the impact of transformational leadership on the job satisfaction of certified athletic trainers in the ncaa division i setting|thesis|mark dutton|may|2009
EfirdTylerJoseph.pdf|modernity, historical trauma, and the crisis of ethics: reading nathanael west‟s miss lonelyhearts after levinas|thesis|tyler joseph efird|may|2009
EllisAndrewTodd.pdf|control of italian ryegrass (lolium perenne l. spp. multiflorum lam. husnot) in wheat (triticum spp.) and evaluation of resistance to acetyl-coa carboxylase inhibiting herbicides|dissertation|andrew todd ellis|may|2009
EshamBelindaD.pdf|a habitat assessment to locate tree of heaven [ailanthus altissima, (mill.) swingle] in mammoth cave national park|dissertation|belinda d. esham|may|2009
FajoluOluseyiLydia.pdf|genetic variability of hosta virus x in hosta|thesis|oluseyi lydia fajolu|may|2009
FiskeElizabethAnn.pdf|self- transcendence and spiritual well-being in participants of short-term, faith-based, foreign, health care missions|dissertation|elizabeth ann fiske|may|2009
FosterMelissaAnn.pdf|abundance and losses of agricultural seeds for waterfowl in tennessee|thesis|melissa ann foster|may|2009
FrameWilliamHunter.pdf|soil and plant monitoring of nitrogen as management tools for nitrogen fertilization and tsna reduction in burley tobacco|thesis|william hunter frame|may|2009
FrenchAmeliaClayton.pdf|the effects of changing forest dynamics in the northern cumberland plateau on the indiana bat (myotis sodalis)|thesis|amelia clayton french|may|2009
FuchigamiKenji.pdf|atomically resolved stm studies of the perovskite manganite thin-film surfaces|dissertation|kenji fuchigami|may|2009
FutrelleAbigailE.pdf|the liminal figure of julia morrison: “ladyhood” in chattanooga, tennessee, 1899-1900|thesis|abigail e. futrelle|may|2009
GhezawiSaeedRamzi.pdf|characterization of a 12-bit pipeline analog to digital converter|thesis|saeed ramzi ghezawi|may|2009
GlatterMarkus.pdf|concept-driven visualization forterascale data analytics|dissertation|markus glatter|may|2009
GoddeKanyaMia.pdf|population structure of lower nubia inthe mesolithic- christian groups|dissertation|kanya mia godde|may|2009
GoldmanJosephP.pdf|ecological design patterns for green neighborhoods|thesis|joseph paul goldman|may|2009
